Freq.	V(out)
1.18850222743702e+00	(-2.45110474834159e+00dB,1.41853701845161e+02°)
1.18941478677044e+00	(-2.43957998299265e+00dB,1.41834637336224e+02°)
1.19032804678789e+00	(-2.42805719410886e+00dB,1.41815561543014e+02°)
1.19124200802738e+00	(-2.41653638303143e+00dB,1.41796474470285e+02°)
1.19215667102732e+00	(-2.40501755140744e+00dB,1.41777376124765e+02°)
1.19307203632654e+00	(-2.39350070107373e+00dB,1.41758266515737e+02°)
1.19398810446428e+00	(-2.38198583294060e+00dB,1.41739145643363e+02°)
1.19490487598019e+00	(-2.37047294923381e+00dB,1.41720013519896e+02°)
1.19582235141435e+00	(-2.35896205117374e+00dB,1.41700870149580e+02°)
1.19674053130725e+00	(-2.34745314049068e+00dB,1.41681715540341e+02°)
1.19765941619977e+00	(-2.33594621852333e+00dB,1.41662549695920e+02°)
1.19857900663324e+00	(-2.32444128714536e+00dB,1.41643372626367e+02°)
1.19949930314938e+00	(-2.31293834778779e+00dB,1.41624184337123e+02°)
1.20042030629035e+00	(-2.30143740177733e+00dB,1.41604984832843e+02°)
1.20134201659870e+00	(-2.28993845100658e+00dB,1.41585774122209e+02°)
1.20226443461742e+00	(-2.27844149681618e+00dB,1.41566552210593e+02°)
1.20318756088989e+00	(-2.26694654081338e+00dB,1.41547319104789e+02°)
1.20411139595995e+00	(-2.25545358470745e+00dB,1.41528074813172e+02°)
1.20503594037180e+00	(-2.24396262986109e+00dB,1.41508819340446e+02°)
1.20596119467011e+00	(-2.23247367784142e+00dB,1.41489552693748e+02°)
1.20688715939995e+00	(-2.22098673030059e+00dB,1.41470274879806e+02°)
1.20781383510678e+00	(-2.20950178892030e+00dB,1.41450985907297e+02°)
1.20874122233654e+00	(-2.19801885476909e+00dB,1.41431685777847e+02°)
1.20966932163552e+00	(-2.18653793002584e+00dB,1.41412374505159e+02°)
1.21059813355049e+00	(-2.17505901565423e+00dB,1.41393052088764e+02°)
1.21152765862859e+00	(-2.16358211359681e+00dB,1.41373718540242e+02°)
1.21245789741742e+00	(-2.15210722539704e+00dB,1.41354373866442e+02°)
1.21338885046498e+00	(-2.14063435231750e+00dB,1.41335018070275e+02°)
1.21432051831969e+00	(-2.12916349630157e+00dB,1.41315651164084e+02°)
1.21525290153040e+00	(-2.11769465842443e+00dB,1.41296273148443e+02°)
1.21618600064637e+00	(-2.10622784049203e+00dB,1.41276884033762e+02°)
1.21711981621730e+00	(-2.09476304405272e+00dB,1.41257483826386e+02°)
1.21805434879329e+00	(-2.08330027074754e+00dB,1.41238072534248e+02°)
1.21898959892487e+00	(-2.07183952191692e+00dB,1.41218650162149e+02°)
1.21992556716301e+00	(-2.06038079920315e+00dB,1.41199216718092e+02°)
1.22086225405908e+00	(-2.04892410408316e+00dB,1.41179772208273e+02°)
1.22179966016488e+00	(-2.03746943825008e+00dB,1.41160316641166e+02°)
1.22273778603264e+00	(-2.02601680301234e+00dB,1.41140850021229e+02°)
1.22367663221500e+00	(-2.01456620002925e+00dB,1.41121372356508e+02°)
1.22461619926505e+00	(-2.00311763071397e+00dB,1.41101883653015e+02°)
