Freq.	V(out)
1.26279639478064e+00	(-1.59128669513120e+00dB,1.40591967566287e+02°)
1.26376599888374e+00	(-1.57989470587787e+00dB,1.40572142002990e+02°)
1.26473634747116e+00	(-1.56850479499027e+00dB,1.40552305612798e+02°)
1.26570744111453e+00	(-1.55711696400706e+00dB,1.40532458403071e+02°)
1.26667928038592e+00	(-1.54573121430312e+00dB,1.40512600380141e+02°)
1.26765186585785e+00	(-1.53434754768486e+00dB,1.40492731554472e+02°)
1.26862519810327e+00	(-1.52296596536151e+00dB,1.40472851930756e+02°)
1.26959927769555e+00	(-1.51158646896479e+00dB,1.40452961516573e+02°)
1.27057410520855e+00	(-1.50020905993082e+00dB,1.40433060319298e+02°)
1.27154968121652e+00	(-1.48883373971976e+00dB,1.40413148346196e+02°)
1.27252600629417e+00	(-1.47746050995440e+00dB,1.40393225604947e+02°)
1.27350308101667e+00	(-1.46608937213643e+00dB,1.40373292103907e+02°)
1.27448090595960e+00	(-1.45472032762016e+00dB,1.40353347848408e+02°)
1.27545948169900e+00	(-1.44335337810198e+00dB,1.40333392848339e+02°)
1.27643880881135e+00	(-1.43198852495872e+00dB,1.40313427109586e+02°)
1.27741888787357e+00	(-1.42062576956670e+00dB,1.40293450638705e+02°)
1.27839971946303e+00	(-1.40926511362722e+00dB,1.40273463445595e+02°)
1.27938130415753e+00	(-1.39790655851071e+00dB,1.40253465535597e+02°)
1.28036364253533e+00	(-1.38655010577885e+00dB,1.40233456917486e+02°)
1.28134673517511e+00	(-1.37519575674134e+00dB,1.40213437596979e+02°)
1.28233058265603e+00	(-1.36384351322828e+00dB,1.40193407584580e+02°)
1.28331518555766e+00	(-1.35249337647650e+00dB,1.40173366885798e+02°)
1.28430054446003e+00	(-1.34114534792120e+00dB,1.40153315507618e+02°)
1.28528665994362e+00	(-1.32979942922807e+00dB,1.40133253458935e+02°)
1.28627353258935e+00	(-1.31845562164597e+00dB,1.40113180745253e+02°)
1.28726116297859e+00	(-1.30711392692579e+00dB,1.40093097377548e+02°)
1.28824955169314e+00	(-1.29577434648385e+00dB,1.40073003361689e+02°)
1.28923869931527e+00	(-1.28443688174744e+00dB,1.40052898704765e+02°)
1.29022860642769e+00	(-1.27310153403710e+00dB,1.40032783413211e+02°)
1.29121927361354e+00	(-1.26176830510063e+00dB,1.40012657498042e+02°)
1.29221070145643e+00	(-1.25043719629983e+00dB,1.39992520964222e+02°)
1.29320289054042e+00	(-1.23910820907644e+00dB,1.39972373820068e+02°)
1.29419584144999e+00	(-1.22778134483552e+00dB,1.39952216072852e+02°)
1.29518955477010e+00	(-1.21645660523306e+00dB,1.39932047730971e+02°)
1.29618403108614e+00	(-1.20513399168071e+00dB,1.39911868802304e+02°)
1.29717927098396e+00	(-1.19381350568648e+00dB,1.39891679294826e+02°)
1.29817527504986e+00	(-1.18249514855514e+00dB,1.39871479213898e+02°)
1.29917204387057e+00	(-1.17117892179797e+00dB,1.39851268569376e+02°)
1.30016957803330e+00	(-1.15986482708232e+00dB,1.39831047368992e+02°)
1.30116787812569e+00	(-1.14855286568921e+00dB,1.39810815620140e+02°)
1.30216694473584e+00	(-1.13724303908515e+00dB,1.39790573329817e+02°)
1.30316677845231e+00	(-1.12593534875281e+00dB,1.39770320506800e+02°)
1.30416737986408e+00	(-1.11462979606830e+00dB,1.39750057156740e+02°)
1.30516874956063e+00	(-1.10332638282485e+00dB,1.39729783291654e+02°)
1.30617088813185e+00	(-1.09202511012607e+00dB,1.39709498915618e+02°)
1.30717379616810e+00	(-1.08072597962968e+00dB,1.39689204038306e+02°)
1.30817747426020e+00	(-1.06942899260398e+00dB,1.39668898665994e+02°)
1.30918192299941e+00	(-1.05813415057512e+00dB,1.39648582807238e+02°)
1.31018714297746e+00	(-1.04684145526075e+00dB,1.39628256471986e+02°)
1.31119313478652e+00	(-1.03555090768571e+00dB,1.39607919664806e+02°)
1.31219989901921e+00	(-1.02426250960857e+00dB,1.39587572395420e+02°)
1.31320743626863e+00	(-1.01297626235077e+00dB,1.39567214671064e+02°)
1.31421574712831e+00	(-1.00169216729384e+00dB,1.39546846499258e+02°)
